Location,Dates,vb,v0,v1,v2,v3,v4,Comments
CENTRAL ROCK,4/30/2023,3,3,1,,,,
CENTRAL ROCK,5/4/2023,1,3,3,1,,,
CENTRAL ROCK,5/7/2023,,,2,1,,,
CENTRAL ROCK,5/10/2023,,,2,2,tried,,
CENTRAL ROCK,5/21/2023,,2,2,1,1,,
CENTRAL ROCK,5/27/2023,,2,1,1,1,,
CENTRAL ROCK,5/31/2023,,,2,0,1,,
CENTRAL ROCK,6/11/2023,,,2,1,tried,,
CENTRAL ROCK,6/16/2023,,1,2,1,1,,
CENTRAL ROCK,6/18/2023,2,1,2,1,kinda,,
CENTRAL ROCK,6/21/2023,1,1,3,1,kinda,,
CENTRAL ROCK,7/9/2023,,1,6,tried,kinda,,
CENTRAL ROCK,7/22/2023,1,2,3,2,tried,,
CENTRAL ROCK,7/26/2023,,,5,2.5,,,
CENTRAL ROCK,8/3/2023,,0,2,3,,,
CENTRAL ROCK,8/6/2023,,1,1,4,,,
CENTRAL ROCK,8/9/2023,,,2,3,1,,
CENTRAL ROCK,8/12/2023,1,1,1,1,tried...nearly got 2,,
CENTRAL ROCK,8/21/2023,,,,1,tried,,
CENTRAL ROCK,8/24/2023,,,,tried ,tried,,
CENTRAL ROCK,8/25/2023,,1,,3,1,,
CENTRAL ROCK,9/2/2023,,,,1,tried,,
CENTRAL ROCK,9/4/2023,1,1,1,1,almost: https://photos.google.com/share/AF1QipO8kkzMwWe8nz0no3c3-Rhu6jrPliuCj9SQ7rj83yFbtSDTfzhnmMKUoEFZQUxWsQ/photo/AF1QipO3A6LxVnbvowFEJfNOQWAPIdQjA2ozzeQzdJ9a,,
CENTRAL ROCK,9/10/2023,,1,1,1,got far on a few new ones ,,
CENTRAL ROCK,9/13/2023,,,,1,almost further on orange corner one,,
CENTRAL ROCK,9/17/2023,,1,1,2,2,,
CENTRAL ROCK,9/20/2023,,1,1,3,,,
CENTRAL ROCK,9/29/2023,,,1,1,1,,
CENTRAL ROCK,10/18/2023,,,4,1,tried 1,,
CENTRAL ROCK,11/2/2023,,1,1,1,,,
CENTRAL ROCK,11/10/2023,,1,2,1,,yoga,
CENTRAL ROCK,11/25/2023,1,3,2,1,,,
CENTRAL ROCK,12/6/2023,,,4,tried 1,,,
CENTRAL ROCK,12/11/2023,,,2,1 tried 2 others,,,
CENTRAL ROCK,12/14/2023,,,2,1 tried 2 others,,,
CENTRAL ROCK,12/16/2023,,,,3,tried 2,,
CENTRAL ROCK,12/20/2023,,,1,1,tried 2,,
CENTRAL ROCK,12/23/2023,,,1,tried 1,tried 1,,
CENTRAL ROCK,12/30/2023,,,5,1,tried 2,,
VERTICALVENTURES,1/6/2024,,2,1ish,,"vertical ventures did 5.6,5.7,5.8 and failed one 5.8",,
CENTRAL ROCK,1/12/2024,,1,2,tried 2,,many closed for climbing comp: sick,
CENTRAL ROCK,1/22/2024,1,3,4,1 tried 2 others ,tried 1,,
CENTRAL ROCK,2/3/2024,,,5,tried 2,,,
CENTRAL ROCK,2/16/2024,1,1,1,1 tried 3,tried 1,,
CENTRAL ROCK,2/19/2024,,,1,1 tried 2,tried 1,,
CENTRAL ROCK,3/3/2024,,,3,tried 2,tried 3,,
CENTRAL ROCK,3/10/2024,,,,,"did 2x5.6, 2x5.7, 2x5.8, 5.9",,
CENTRAL ROCK,3/18/2024,1,1,1,1 tried 2 others,did 1 5.8 and tried 1 5.9,,
CENTRAL ROCK,3/22/2024,1,2,1,3.9,,,
CENTRAL ROCK,3/27/2024,,,,2 tried 3 other,tried 3,,
CENTRAL ROCK,4/5/2024,,,2,1 tried 3 others,tried 3,,
CENTRAL ROCK,4/16/2024,1,2,3,1 tried 3 others,tried 3,,
CENTRAL ROCK,4/21/2024,,1,2,tried 3 ,tried 2,,
CENTRAL ROCK,4/26/2024,,1,1,3 tried 3 others,,,
CENTRAL ROCK,4/29/2024,,,,1,1 tried 2 others,,
CENTRAL ROCK,5/10/2024,1,1,1,1 tried I other,1,,
CENTRAL ROCK,5/14/2024,1,1,1,1 tried 3  other,1 tried 1 other,,
CENTRAL ROCK,5/18/2024,,,3,tried 3,,,
CENTRAL ROCK,6/6/2024,2,2,2,1 tried 2 others (very close),,,
CENTRAL ROCK,6/9/2024,1,1,1,,,,
CENTRAL ROCK,6/12/2024,1,2,1,1,1,,
CENTRAL ROCK,6/16/2024,1,2,1 tried 1 other hard one,1 tried 1 other,1 tried 1 other,,
CENTRAL ROCK,6/24/2024,1,1,1,2 tried 2 others,1 tried 2 others,,
CENTRAL ROCK,6/27/2024,,,,5 tried 2 others,tried 1,,
CENTRAL ROCK,7/2/2024,1,1,1tried 1 other,1,tried 1 ,tried 1,
CENTRAL ROCK,7/8/2024,1?,1?,1?,,1,tried1?,tried 1?
CENTRAL ROCK,7/21/2024,,2,2 tried 1 other,2 tried 1 other,,,
CENTRAL ROCK,7/27/2024,1,1,1,1 tried 2 other ,1 tried 1 other,,
CENTRAL ROCK,10/15/2024,1,1,1,1,,,
MOVEMENT,11/17/2024,,2,2,tried 7,,,movement gym switch 
MOVEMENT,11/21/2024,1,2,1,tried 3,1,,
MOVEMENT,12/1/2024,,2,2,2 tried 1 other,,,new shoes
MOVEMENT,12/3/2024,2,2,2,2 tried 2 other,1,,
MOVEMENT,12/7/2024,1,2,3,1 tried 4 other ,1,,
MOVEMENT,12/15/2024,2,2,2 tried 1 other ,2 tried 2 other,tried 3,,
MOVEMENT,12/17/2024,,,2,tried 4,,tried 1 (almost got),
MOVEMENT,12/21/2024,,1,2 tried 1 other,2 tried 3 other,tried 1,,
CENTRAL ROCK,12/29/2024,,,1,2,tried 2 basically got 1,,central rock Florida 
MOVEMENT,1/5/2025,,3,3,3 tried 1 other,,,
MOVEMENT,1/18/2025,,1,2,4 tried 1 other ,tried 2,tried 1,
CENTRAL ROCK,1/26/2025,,2,2,1 tried 4 other,,,
MOVEMENT,2/1/2025,,2,2 tried 1 other,2 tried 1 other,tried 2,,
MOVEMENT ,2/6/2025,,1,1,1 tried 1 other,tried 1,,see video of Lindsay made my hands both on top of box
MOVEMENT,2/8/2025,,2,2,2 tried 2 other ,1 tried close,,
