Location,Dates,vb,v0,v1,v2,v3,v4,Comments
CENTRAL ROCK,30 April,3,3,1,,,,
CENTRAL ROCK,4 May,1,3,3,1,,,
CENTRAL ROCK,7 May,,,2,1,,,
CENTRAL ROCK,10 May,,,2,2,tried,,
CENTRAL ROCK,21 May,,2,2,1,1,,
CENTRAL ROCK,27 May,,2,1,1,1,,
CENTRAL ROCK,31 May,,,2,0,1,,
CENTRAL ROCK,11 Jun,,,2,1,tried,,
CENTRAL ROCK,16 Jun,,1,2,1,1,,
CENTRAL ROCK,18 Jun,2,1,2,1,kinda,,
CENTRAL ROCK,21 June,1,1,3,1,kinda,,
CENTRAL ROCK,9Jul,,1,6,tried,kinda,,
CENTRAL ROCK,22 Jul,1,2,3,2,tried,,
CENTRAL ROCK,26 Jul,,,5,2.5,,,
CENTRAL ROCK,3 Aug,,0,2,3,,,
CENTRAL ROCK,6 Aug,,1,1,4,,,
CENTRAL ROCK,9 Aug,,,2,3,1,,
CENTRAL ROCK,12 Aug,1,1,1,1,tried...nearly got 2,,
CENTRAL ROCK,21 Aug,,,,1,tried,,
CENTRAL ROCK,24 Aug,,,,tried ,tried,,
CENTRAL ROCK,25 Aug,,1,,3,1,,
CENTRAL ROCK,2 Sep,,,,1,tried,,
CENTRAL ROCK,4 Sept,1,1,1,1,almost: https://photos.google.com/share/AF1QipO8kkzMwWe8nz0no3c3-Rhu6jrPliuCj9SQ7rj83yFbtSDTfzhnmMKUoEFZQUxWsQ/photo/AF1QipO3A6LxVnbvowFEJfNOQWAPIdQjA2ozzeQzdJ9a,,
CENTRAL ROCK,10 Sept,,1,1,1,got far on a few new ones ,,
CENTRAL ROCK,13 sept,,,,1,almost further on orange corner one,,
CENTRAL ROCK,17 Sep,,1,1,2,2,,
CENTRAL ROCK,20 Sep,,1,1,3,,,
CENTRAL ROCK,29 Sep,,,1,1,1,,
CENTRAL ROCK,18 Oct,,,4,1,tried 1,,
CENTRAL ROCK,2 November,,1,1,1,,,
CENTRAL ROCK,10 November,,1,2,1,,yoga,
CENTRAL ROCK,25 Nov,1,3,2,1,,,
CENTRAL ROCK,6 Dec,,,4,tried 1,,,
CENTRAL ROCK,11 Dec,,,2,1 tried 2 others,,,
CENTRAL ROCK,14 Dec,,,2,1 tried 2 others,,,
CENTRAL ROCK,16 Dec,,,,3,tried 2,,
CENTRAL ROCK,20 Dec,,,1,1,tried 2,,
CENTRAL ROCK,23 Dec,,,1,tried 1,tried 1,,
CENTRAL ROCK,30 Dec,,,5,1,tried 2,,
VERTICALVENTURES,6 Jan,,2,1ish,,"vertical ventures did 5.6,5.7,5.8 and failed one 5.8",,
CENTRAL ROCK,12 Jan,,1,2,tried 2,,many closed for climbing comp: sick,
CENTRAL ROCK,22 Jan,1,3,4,1 tried 2 others ,tried 1,,
CENTRAL ROCK,3 Feb,,,5,tried 2,,,
CENTRAL ROCK,16 Feb,1,1,1,1 tried 3,tried 1,,
CENTRAL ROCK,19 Feb,,,1,1 tried 2,tried 1,,
CENTRAL ROCK,3 March,,,3,tried 2,tried 3,,
CENTRAL ROCK,10 March,,,,,"did 2x5.6, 2x5.7, 2x5.8, 5.9",,
CENTRAL ROCK,18 March,1,1,1,1 tried 2 others,did 1 5.8 and tried 1 5.9,,
CENTRAL ROCK,22 March,1,2,1,3.9,,,
CENTRAL ROCK,27 Mar,,,,2 tried 3 other,tried 3,,
CENTRAL ROCK,5 Apr,,,2,1 tried 3 others,tried 3,,
CENTRAL ROCK,16 Apr,1,2,3,1 tried 3 others,tried 3,,
CENTRAL ROCK,21 Apr,,1,2,tried 3 ,tried 2,,
CENTRAL ROCK,26 Apr,,1,1,3 tried 3 others,,,
CENTRAL ROCK,29 April,,,,1,1 tried 2 others,,
CENTRAL ROCK,10 May,1,1,1,1 tried I other,1,,
CENTRAL ROCK,14 May,1,1,1,1 tried 3  other,1 tried 1 other,,
CENTRAL ROCK,18 May,,,3,tried 3,,,
CENTRAL ROCK,6 Jun,2,2,2,1 tried 2 others (very close),,,
CENTRAL ROCK,9 Jun,1,1,1,,,,
CENTRAL ROCK,12 Jun,1,2,1,1,1,,
CENTRAL ROCK,16 Jun,1,2,1 tried 1 other hard one,1 tried 1 other,1 tried 1 other,,
CENTRAL ROCK,24 Jun,1,1,1,2 tried 2 others,1 tried 2 others,,
CENTRAL ROCK,27 Jun,,,,5 tried 2 others,tried 1,,
CENTRAL ROCK,2 July,1,1,1tried 1 other,1,tried 1 ,tried 1,
CENTRAL ROCK,8 Jul,1?,1?,1?,,1,tried1?,tried 1?
CENTRAL ROCK,21 Jul,,2,2 tried 1 other,2 tried 1 other,,,
CENTRAL ROCK,27 Jul,1,1,1,1 tried 2 other ,1 tried 1 other,,
CENTRAL ROCK,15 Oct,1,1,1,1,,,
MOVEMENT,17 Nov,,2,2,tried 7,,,movement gym switch 
MOVEMENT,21 Nov,1,2,1,tried 3,1,,
MOVEMENT,1 Dec,,2,2,2 tried 1 other,,,new shoes
MOVEMENT,3 Dec,2,2,2,2 tried 2 other,1,,
MOVEMENT,7 Dec,1,2,3,1 tried 4 other ,1,,
MOVEMENT,15 Dec,2,2,2 tried 1 other ,2 tried 2 other,tried 3,,
MOVEMENT,17 Dec,,,2,tried 4,,tried 1 (almost got),
MOVEMENT,21 Dec,,1,2 tried 1 other,2 tried 3 other,tried 1,,
CENTRAL ROCK,29 Dec,,,1,2,tried 2 basically got 1,,central rock Florida 
